20260831
C0000238;Taxa Cupom_7;NUMERICO;10;4;S;
C0000239;Taxa Cupom_8;NUMERICO;10;4;S;
C0000240;Taxa Cupom_9;NUMERICO;10;4;S;
C0000241;Taxa Cupom_10;NUMERICO;10;4;S;
C0000242;Taxa Cupom_11;NUMERICO;10;4;S;
C0000243;Taxa Cupom_12;NUMERICO;10;4;S;
C0000244;Taxa Cupom_13;NUMERICO;10;4;S;
C0000245;Taxa Cupom_14;NUMERICO;10;4;S;
C0000246;Taxa Cupom_15;NUMERICO;10;4;S;
C0000247;Taxa Cupom_16;NUMERICO;10;4;S;
C0000248;Taxa Cupom_17;NUMERICO;10;4;S;
C0000249;Taxa Cupom_18;NUMERICO;10;4;S;
C0000250;Taxa Cupom_19;NUMERICO;10;4;S;
C0000251;Taxa Cupom_20;NUMERICO;10;4;S;
C0000252;Taxa Cupom_21;NUMERICO;10;4;S;
C0000253;Taxa Cupom_22;NUMERICO;10;4;S;
C0000254;Taxa Cupom_23;NUMERICO;10;4;S;
C0000255;Taxa Cupom_24;NUMERICO;10;4;S;
C0000256;Taxa Cupom_25;NUMERICO;10;4;S;
C0000257;Taxa Cupom_26;NUMERICO;10;4;S;
C0000258;Taxa Cupom_27;NUMERICO;10;4;S;
C0000259;Taxa Cupom_28;NUMERICO;10;4;S;
C0000260;Taxa Cupom_29;NUMERICO;10;4;S;
C0000261;Taxa Cupom_30;NUMERICO;10;4;S;
C0000262;Taxa Cupom_31;NUMERICO;10;4;S;
C0000263;Taxa Cupom_32;NUMERICO;10;4;S;
C0000264;Taxa Cupom_33;NUMERICO;10;4;S;
C0000265;Taxa Cupom_34;NUMERICO;10;4;S;
C0000266;Taxa Cupom_35;NUMERICO;10;4;S;
C0000267;Taxa Cupom_36;NUMERICO;10;4;S;
C0000268;Taxa Cupom_37;NUMERICO;10;4;S;
C0000269;Taxa Cupom_38;NUMERICO;10;4;S;
C0000270;Taxa Cupom_39;NUMERICO;10;4;S;
C0000271;Taxa Cupom_40;NUMERICO;10;4;S;
C0000272;Taxa Cupom_41;NUMERICO;10;4;S;
C0000273;Taxa Cupom_42;NUMERICO;10;4;S;
C0000274;Taxa Cupom_43;NUMERICO;10;4;S;
C0000275;Taxa Cupom_44;NUMERICO;10;4;S;
C0000276;Taxa Cupom_45;NUMERICO;10;4;S;
C0000277;Taxa Cupom_46;NUMERICO;10;4;S;
C0000278;Taxa Cupom_47;NUMERICO;10;4;S;
C0000279;Taxa Cupom_48;NUMERICO;10;4;S;
C0000280;Taxa Cupom_49;NUMERICO;10;4;S;
C0000281;Taxa Cupom_50;NUMERICO;10;4;S;
C0000282;Taxa Cupom_51;NUMERICO;10;4;S;
C0000283;Taxa Cupom_52;NUMERICO;10;4;S;
C0000284;Taxa Cupom_53;NUMERICO;10;4;S;
C0000285;Taxa Cupom_54;NUMERICO;10;4;S;
C0000286;Taxa Cupom_55;NUMERICO;10;4;S;
C0000287;Taxa Cupom_56;NUMERICO;10;4;S;
C0000288;Taxa Cupom_57;NUMERICO;10;4;S;
C0000289;Taxa Cupom_58;NUMERICO;10;4;S;
C0000290;Taxa Cupom_59;NUMERICO;10;4;S;
C0000291;Taxa Cupom_60;NUMERICO;10;4;S;
C0000292;Percentual Y;NUMERICO;10;4;S;
C0000293;Percentual X;NUMERICO;10;4;S;
C0000294;Data Strike;DATA;8;0;S;
C0000295;Data de Verific Inicial;DATA;8;0;S;
C0000296;Data de Verific Final;DATA;8;0;S;
C0000297;Fonte Dolar;TEXTO;20;0;S;
C0000298;Data de Verific Moeda;DOMINIO;3;0;N;D
C0000298;Data de Verific Moeda;DOMINIO;3;0;N;D-1
C0000298;Data de Verific Moeda;DOMINIO;3;0;N;D-2
C0000298;Data de Verific Moeda;DOMINIO;3;0;N;D-3
C0000298;Data de Verific Moeda;DOMINIO;3;0;N;D-4
C0000298;Data de Verific Moeda;DOMINIO;3;0;N;D-5
C0000299;Valor Trigger Alta;NUMERICO;10;4;S;
C0000300;Valor Trigger Baixa;NUMERICO;10;4;S;
C0000301;Ganho sem Trigger;NUMERICO;10;4;S;
C0000302;Cupom Trigger ON;NUMERICO;10;4;S;
C0000303;Cap Ibovespa;NUMERICO;10;4;S;
C0000304;Taxa Pré adicional;NUMERICO;10;4;S;
C0000305;Periodic Observações;DOMINIO;3;0;S;DIARIA
C0000305;Periodic Observações;DOMINIO;3;0;S;SEMANAL
C0000305;Periodic Observações;DOMINIO;3;0;S;QUINZENAL
C0000305;Periodic Observações;DOMINIO;3;0;S;MENSAL
C0000305;Periodic Observações;DOMINIO;3;0;S;BIMESTRAL
C0000305;Periodic Observações;DOMINIO;3;0;S;TRIMESTRAL
C0000305;Periodic Observações;DOMINIO;3;0;S;SEMESTRAL
C0000305;Periodic Observações;DOMINIO;3;0;S;ANUAL
C0000305;Periodic Observações;DOMINIO;3;0;S;N/A
C0000306;Limite Verificador Indicador;NUMERICO;10;4;S;
C0000307;Valor Base verificação;NUMERICO;10;4;S;
C0000308;Moeda Valor base verificação;DOMINIO;10;0;S;USD
C0000308;Moeda Valor base verificação;DOMINIO;10;0;S;EUR
C0000308;Moeda Valor base verificação;DOMINIO;10;0;S;REAL
C0000309;Parâmetro;DOMINIO;14;0;S;USD
C0000309;Parâmetro;DOMINIO;14;0;S;EUR
C0000309;Parâmetro;DOMINIO;14;0;S;TAXA PREFIXADA
