BANCO MERCEDES BENZ DO BRASIL S/A                                                                   ;MERCEDESBBM         ;22227.40-7;DAIML;60.814.191/0001-57;
BANCO MIZUHO DO BRASIL S.A.                                                                         ;MIZUHOBM            ;03710.40-7;WESTM;61.088.183/0001-33;
BANCO MORGAN STANLEY S.A.                                                                           ;MORGANSTANLEYBM     ;77860.40-0;MORGM;02.801.938/0001-36;
BANCO MUFG BRASIL S.A.                                                                              ;MUFGBM              ;74550.40-7;BTM M;60.498.557/0001-26;
BANCO ORIGINAL S/A                                                                                  ;ORIGINALBM          ;72120.40-6;MATOM;92.894.922/0001-08;
BANCO PAN S/A                                                                                       ;PANBM               ;76230.40-2;PANAM;59.285.411/0001-13;
BANCO PAULISTA S/A                                                                                  ;PAULISTABM          ;06110.40-6;PAULC;61.820.817/0001-09;
BANCO PINE S/A                                                                                      ;PINEBM              ;70430.40-4;PINEM;62.144.175/0001-20;
BANCO PLENO SA - EM LIQUIDACAO EXTRAJUDICIAL                                                        ;PLENOBM             ;06530.40-2;INDUC;61.024.352/0001-71;
BANCO PORTO REAL DE INVESTIMENTOS S/A                                                               ;PORTOREALBI         ;06581.40-6;PORTI;40.429.946/0001-92;
BANCO RABOBANK INTERNATIONAL BRASIL S/A                                                             ;RABOBANKBM          ;77470.40-5;RABOM;01.023.570/0001-60;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL - BRDE                                             ;BRDEBD              ;17534.40-4;BRDED;92.816.560/0001-37;
BANCO RENDIMENTO S.A.                                                                               ;RENDIMENTOBC        ;06330.40-6;RENDC;68.900.810/0001-38;
BANCO RNX S.A                                                                                       ;RNXBM               ;79930.40-0;MAXIM;80.271.455/0001-80;
BANCO RURAL S/A - LIQUIDACAO EXTRAJUDICIAL                                                          ;RURALBM             ;74530.40-3;RURAM;33.124.959/0001-98;
BANCO SAFRA S/A                                                                                     ;SAFRABM             ;74220.40-7;SAFRM;58.160.789/0001-28;
BANCO SANTANDER (BRASIL) SA                                                                         ;BCOSANTANDERBM      ;70080.40-7;MERIM;90.400.888/0001-42;
BANCO SANTANDER (BRASIL) SA                                                                         ;BCOSANTANDERBM      ;73330.40-8;SANBM;90.400.888/0001-42;
BANCO SANTANDER (BRASIL) SA                                                                         ;BCOSANTANDERBM      ;73470.40-9;SUDAM;90.400.888/0001-42;
BANCO SANTANDER (BRASIL) SA                                                                         ;BCOSANTANDERBM      ;73510.40-0;BOZNM;90.400.888/0001-42;
BANCO SANTANDER (BRASIL) SA                                                                         ;BCOSANTANDERBM      ;73560.40-5;ABN M;90.400.888/0001-42;
BANCO SEMEAR S/A                                                                                    ;SEMEARBM            ;77430.40-7;EMBLM;00.795.423/0001-45;
BANCO SOCIETE GENERALE BRASIL S/A                                                                   ;SOCIETEGENERALEBM   ;70660.40-1;SOCIM;61.533.584/0001-55;
BANCO SOFISA S/A                                                                                    ;SOFISABM            ;76370.40-3;SOFIM;60.889.128/0001-80;
BANCO STELLANTIS S.A.                                                                               ;BANCOSTELLANTISBM   ;09771.40-2;FIDII;62.237.425/0001-76;
BANCO SUMITOMO MITSUI BRASILEIRO S/A                                                                ;SUMITOMOBM          ;74640.40-3;SUMIM;60.518.222/0001-22;
BANCO TOYOTA DO BRASIL S/A                                                                          ;BCOTOYOTABM         ;72670.40-6;TOYOM;03.215.790/0001-10;
BANCO TRIANGULO S/A                                                                                 ;TRIANGULOBM         ;76340.40-2;TRIAM;17.351.180/0001-59;
BANCO TRICURY S/A                                                                                   ;TRICURYBM           ;79740.40-1;TRICM;57.839.805/0001-40;
BANCO UBS (BRASIL) S.A.                                                                             ;SUISSEBM            ;75050.40-1;BGARM;32.062.580/0001-38;
BANCO VOLVO BRASIL S/A                                                                              ;VOLVOBM             ;70150.40-9;VOLVM;58.017.179/0001-70;
BANCO VR S/A                                                                                        ;VRBM                ;76100.40-8;VRB M;78.626.983/0001-63;
BANCO XP S/A                                                                                        ;XPBM                ;32441.40-0;XPBM ;33.264.668/0001-03;
BANESTES S/A BANCO DO ESTADO DO ESPIRITO SANTO                                                      ;BANESTESBM          ;70210.40-4;BEESM;28.127.603/0001-78;
BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S/A                                                    ;MERRILLLYNCHBM      ;07551.40-4;MERRI;62.073.200/0001-21;
BANK OF CHINA (BRASIL) BANCO MULTIPLO S.A.                                                          ;BOCBM               ;73200.40-4;BIC M;07.450.604/0001-89;
BB BCO DE INVESTIMENTO S/A                                                                          ;BBBI                ;00011.40-8;BBSAI;24.933.830/0001-30;
BCO ALFA DE INVESTIMENTO S/A                                                                        ;ALFABI              ;22751.40-9;ALFAI;60.770.336/0001-65;
BCO MERCANTIL DE INVESTIMENTOS S/A                                                                  ;MERCANBRBI          ;03891.40-5;MERCI;34.169.557/0001-72;
