FIGURA;TITULO;ORDEM;CAMPO;DESCRICAO
COE001003;COE001003 - Call KO;11;Tipo de Cotação para Liquidação;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada na liquidação da operação. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001003;COE001003 - Call KO;12;Período de Pagamento;"Campo de preenchimento obrigatório. Campo com as opções: Ato e Vencimento. Se indicado “Ato” e houver disparo do trigger, o pagamento do COE será antecipado 'a data do disparo. Se indicado ""Vencimento"" e houver disparo do trigger, o contrato será marcado sendo o pagamento efetuado apenas no vencimento."
COE001003;COE001003 - Call KO;13;Período de Verificação de Barreiras;Campo de preenchimento obrigatório. Campo com as opções: Americana e Europeia. Se indicado “Europeia” apenas a “Data para Fixing” pode ser preenchido. Se indicado “Americana” apenas a “Data Inicial para Verificação” e “Data Final para Verificação” podem ser preenchidos.
COE001003;COE001003 - Call KO;14;Data Inicial para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. A partir de D+1 da “Data de Emissão” (ou “Emissão a Termo”) e menor que “Data Final para Verificação” Formato: DD/MM/AAAA.
COE001003;COE001003 - Call KO;15;Data Final para Verificação;Campo de preenchimento obrigatório, se indicado “Americana”. Essa data deve ser posterior à indicada no campo “Data Inicial para Verificação”, sendo que o prazo mínimo de dias entre as datas deve ser de 1 dia útil. Formato: DD/MM/AAAA.
COE001003;COE001003 - Call KO;16;Tipo de Fixing para Vencimento;Campo de preenchimento obrigatório quando no campo “Período de captura do ativo subjacente para liquidação” for selecionado “Janela de Datas” ou “Mais Datas” . Campo com os domínios: Máxima no Período, Mínima no Período e Média no Período Indica como será formado o fixing para o vencimento do COE. • Máximo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a maior cotação do intervalo como fixing do evento. • Mínimo no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a menor cotação do intervalo como fixing do evento. • Média no período: O sistema irá verificar a cotação de todas as datas do intervalo da “Data fixing” (inclusive) até a “Data Fixing 2” (inclusive) e utilizará a média de todas as cotações do intervalo como fixing do evento.
COE001004;COE001004 - Put KO;1;Strike 1 (%);Campo de preenchimento obrigatório. Formato: Numérico percentual com 4 inteiros e 8 decimais, maior que 0. Percentual aplicado sobre o Valor Inicial do Ativo Subjacente.
COE001004;COE001004 - Put KO;2;Quantidade 1;Campo de preenchimento opcional. Informa a quantidade do ativo subjacente que é utilizado no cálculo de ajuste referente ao Strike 1. Formato: Numérico com 8 inteiros e 8 decimais.
COE001004;COE001004 - Put KO;3;Participação cenário de baixa (%);Campo de preenchimento obrigatório. Número indicando percentual a ser aplicado sobre a desvalorização do ativo subjacente. Formato: Numérico com 4 inteiros e 4 decimais, maior que 0.
COE001004;COE001004 - Put KO;4;Barreira no Cenário de Baixa (%);Campo de preenchimento obrigatório. Formato: numérico com 4 inteiros e 8 decimais, sempre maior que zero. Indica o percentual a ser aplicado sobre o valor inicial do ativo subjacente.
